premise,hypothesis,label
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person is employed part time.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person is employed.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person lives in a housing facility.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person lives in their own or their family's home.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person is a homemaker.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person wasn't a smoker in the past.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person is currently not a smoker.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person currently does not drink alcohol.,True
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person did not drink alcohol in the past.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person is not employed.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person did not use cocaine in the past.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person wasn't a drug user in the past.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person did not use marijuana in the past.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person did not use opioids in the past.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person does not use cocaine.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person is not a drug user.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person does not use marijuana.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person does not use opioids.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person lives in their own or their family's home.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person is retired due to age or preference.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person is retired due to disability.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person is retired due to an unknown reason.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person is a student.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person used cocaine in the past.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person was a drug user in the past.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person used marijuana in the past.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person used opioids in the past.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person uses cocaine.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person is a drug user.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person uses marijuana.,False
6-pack beer plus 2 drinks per day for many years: now claims he has been dry for 2 years,The person uses opioids.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person has access to transportation.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person was a smoker in the past.,True
A 76-year-old who used to smoke a pack a day and quit in 1985,The person is able to obtain food on a consistent basis.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person is currently a smoker.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person currently drinks alcohol.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person drank alcohol in the past.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person is employed part time.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person is employed.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person lives in a housing facility.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person lives in their own or their family's home.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person is a homemaker.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person wasn't a smoker in the past.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person is currently not a smoker.,True
A 76-year-old who used to smoke a pack a day and quit in 1985,The person currently does not drink alcohol.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person did not drink alcohol in the past.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person is not employed.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person did not use cocaine in the past.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person wasn't a drug user in the past.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person did not use marijuana in the past.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person did not use opioids in the past.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person does not use cocaine.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person is not a drug user.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person does not use marijuana.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person does not use opioids.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person lives in their own or their family's home.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person is retired due to age or preference.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person is retired due to disability.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person is retired due to an unknown reason.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person is a student.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person used cocaine in the past.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person was a drug user in the past.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person used marijuana in the past.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person used opioids in the past.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person uses cocaine.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person is a drug user.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person uses marijuana.,False
A 76-year-old who used to smoke a pack a day and quit in 1985,The person uses opioids.,False
A pack of cigarettes would last for more than a week,The person has access to transportation.,False
A pack of cigarettes would last for more than a week,The person was a smoker in the past.,False
A pack of cigarettes would last for more than a week,The person is able to obtain food on a consistent basis.,False
A pack of cigarettes would last for more than a week,The person is currently a smoker.,True
A pack of cigarettes would last for more than a week,The person currently drinks alcohol.,False
A pack of cigarettes would last for more than a week,The person drank alcohol in the past.,False
A pack of cigarettes would last for more than a week,The person is employed part time.,False
A pack of cigarettes would last for more than a week,The person is employed.,False
A pack of cigarettes would last for more than a week,The person lives in a housing facility.,False
A pack of cigarettes would last for more than a week,The person lives in their own or their family's home.,False
A pack of cigarettes would last for more than a week,The person is a homemaker.,False
A pack of cigarettes would last for more than a week,The person wasn't a smoker in the past.,False
A pack of cigarettes would last for more than a week,The person is currently not a smoker.,False
A pack of cigarettes would last for more than a week,The person currently does not drink alcohol.,False
A pack of cigarettes would last for more than a week,The person did not drink alcohol in the past.,False
A pack of cigarettes would last for more than a week,The person is not employed.,False
A pack of cigarettes would last for more than a week,The person did not use cocaine in the past.,False
A pack of cigarettes would last for more than a week,The person wasn't a drug user in the past.,False
A pack of cigarettes would last for more than a week,The person did not use marijuana in the past.,False
A pack of cigarettes would last for more than a week,The person did not use opioids in the past.,False
A pack of cigarettes would last for more than a week,The person does not use cocaine.,False
A pack of cigarettes would last for more than a week,The person is not a drug user.,False
A pack of cigarettes would last for more than a week,The person does not use marijuana.,False
A pack of cigarettes would last for more than a week,The person does not use opioids.,False
A pack of cigarettes would last for more than a week,The person lives in their own or their family's home.,False
A pack of cigarettes would last for more than a week,The person is retired due to age or preference.,False
A pack of cigarettes would last for more than a week,The person is retired due to disability.,False
A pack of cigarettes would last for more than a week,The person is retired due to an unknown reason.,False
A pack of cigarettes would last for more than a week,The person is a student.,False
A pack of cigarettes would last for more than a week,The person used cocaine in the past.,False
A pack of cigarettes would last for more than a week,The person was a drug user in the past.,False
A pack of cigarettes would last for more than a week,The person used marijuana in the past.,False
A pack of cigarettes would last for more than a week,The person used opioids in the past.,False
A pack of cigarettes would last for more than a week,The person uses cocaine.,False
A pack of cigarettes would last for more than a week,The person is a drug user.,False
A pack of cigarettes would last for more than a week,The person uses marijuana.,False
A pack of cigarettes would last for more than a week,The person uses opioids.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person has access to transportation.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person was a smoker in the past.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person is able to obtain food on a consistent basis.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person is currently a smoker.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person currently drinks alcohol.,True
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person drank alcohol in the past.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person is employed part time.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person is employed.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person lives in a housing facility.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person lives in their own or their family's home.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person is a homemaker.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person wasn't a smoker in the past.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person is currently not a smoker.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person currently does not drink alcohol.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person did not drink alcohol in the past.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person is not employed.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person did not use cocaine in the past.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person wasn't a drug user in the past.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person did not use marijuana in the past.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person did not use opioids in the past.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person does not use cocaine.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person is not a drug user.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person does not use marijuana.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person does not use opioids.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person lives in their own or their family's home.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person is retired due to age or preference.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person is retired due to disability.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person is retired due to an unknown reason.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person is a student.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person used cocaine in the past.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person was a drug user in the past.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person used marijuana in the past.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person used opioids in the past.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person uses cocaine.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person is a drug user.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person uses marijuana.,False
"According to the chart, the patient also drinks wine everyday for the last 50 years, usually one to two drinks per day.",The person uses opioids.,False
Active smoker,The person has access to transportation.,False
Active smoker,The person was a smoker in the past.,False
Active smoker,The person is able to obtain food on a consistent basis.,False
Active smoker,The person is currently a smoker.,True
Active smoker,The person currently drinks alcohol.,False
Active smoker,The person drank alcohol in the past.,False
Active smoker,The person is employed part time.,False
Active smoker,The person is employed.,False
Active smoker,The person lives in a housing facility.,False
Active smoker,The person lives in their own or their family's home.,False
Active smoker,The person is a homemaker.,False
Active smoker,The person wasn't a smoker in the past.,False
Active smoker,The person is currently not a smoker.,False
Active smoker,The person currently does not drink alcohol.,False
Active smoker,The person did not drink alcohol in the past.,False
Active smoker,The person is not employed.,False
Active smoker,The person did not use cocaine in the past.,False
Active smoker,The person wasn't a drug user in the past.,False
Active smoker,The person did not use marijuana in the past.,False
Active smoker,The person did not use opioids in the past.,False
Active smoker,The person does not use cocaine.,False
Active smoker,The person is not a drug user.,False
Active smoker,The person does not use marijuana.,False
Active smoker,The person does not use opioids.,False
Active smoker,The person lives in their own or their family's home.,False
Active smoker,The person is retired due to age or preference.,False
Active smoker,The person is retired due to disability.,False
Active smoker,The person is retired due to an unknown reason.,False
Active smoker,The person is a student.,False
Active smoker,The person used cocaine in the past.,False
Active smoker,The person was a drug user in the past.,False
Active smoker,The person used marijuana in the past.,False
Active smoker,The person used opioids in the past.,False
Active smoker,The person uses cocaine.,False
Active smoker,The person is a drug user.,False
Active smoker,The person uses marijuana.,False
Active smoker,The person uses opioids.,False
"Admits to heroin use, alcohol abuse as well",The person has access to transportation.,False
"Admits to heroin use, alcohol abuse as well",The person was a smoker in the past.,False
"Admits to heroin use, alcohol abuse as well",The person is able to obtain food on a consistent basis.,False
"Admits to heroin use, alcohol abuse as well",The person is currently a smoker.,False
